"Name","Uninsured"
"Description","Individuals without health insurance. For more information on how the ACS estimates the uninsured population, see the <a href=""https://www2.census.gov/programs-surveys/acs/tech_docs/subject_definitions/2017_ACSSubjectDefinitions.pdf?#"" target=""_blank"">American Community Survey Subject Definitions</a> (page 73)."
"Source Notes","CCC Analysis of U.S. Census Bureau, American Community Survey 1-Year Estimates, Tables B27001 (2008), C27001 (2009-2019); retrieved from&nbsp;<a href=""https://data.census.gov/cedsci/"" target=""_blank"">https://data.census.gov/cedsci/</a>"
"Notes","Percents refer to the percent of the selected age group breakdown. In 2017, ACS changed the age categories for their health insurance tables from children below 18 to children below 19, to better align with the current health insurance landscape. Comparing 2017 data to previous years should be done with caution, for more information see <a href=""https://www.census.gov/programs-surveys/acs/technical-documentation/table-and-geography-changes/2017/1-year.html"" target=""_blank"">ACS Modified Tables</a>.&nbsp;"

Location,Age Group,TimeFrame,DataFormat,Data,Fips
New York City,Adults 19 Years and Older,2008,Number,1087166,3651000
New York City,All Ages,2008,Number,1195824,3651000
New York City,Children Under 19 Years,2008,Number,108658,3651000
New York City,Adults 19 Years and Older,2008,Percent,0.17039,3651000
New York City,All Ages,2008,Percent,0.14421,3651000
New York City,Children Under 19 Years,2008,Percent,0.05684,3651000
New York City,Adults 19 Years and Older,2009,Number,1085200,3651000
New York City,All Ages,2009,Number,1170370,3651000
New York City,Children Under 19 Years,2009,Number,85170,3651000
New York City,Adults 19 Years and Older,2009,Percent,0.16873,3651000
New York City,All Ages,2009,Percent,0.14066,3651000
New York City,Children Under 19 Years,2009,Percent,0.04509,3651000
New York City,Adults 19 Years and Older,2010,Number,1116882,3651000
New York City,All Ages,2010,Number,1198656,3651000
New York City,Children Under 19 Years,2010,Number,81774,3651000
New York City,Adults 19 Years and Older,2010,Percent,0.17588,3651000
New York City,All Ages,2010,Percent,0.14773,3651000
New York City,Children Under 19 Years,2010,Percent,0.04637,3651000
New York City,Adults 19 Years and Older,2011,Number,1119965,3651000
New York City,All Ages,2011,Number,1197635,3651000
New York City,Children Under 19 Years,2011,Number,77670,3651000
New York City,Adults 19 Years and Older,2011,Percent,0.17477,3651000
New York City,All Ages,2011,Percent,0.1464,3651000
New York City,Children Under 19 Years,2011,Percent,0.04382,3651000
New York City,Adults 19 Years and Older,2012,Number,1068232,3651000
New York City,All Ages,2012,Number,1139500,3651000
New York City,Children Under 19 Years,2012,Number,71268,3651000
New York City,Adults 19 Years and Older,2012,Percent,0.1646,3651000
New York City,All Ages,2012,Percent,0.13774,3651000
New York City,Children Under 19 Years,2012,Percent,0.03997,3651000
New York City,Adults 19 Years and Older,2013,Number,1054072,3651000
New York City,All Ages,2013,Number,1121972,3651000
New York City,Children Under 19 Years,2013,Number,67900,3651000
New York City,Adults 19 Years and Older,2013,Percent,0.16068,3651000
New York City,All Ages,2013,Percent,0.13449,3651000
New York City,Children Under 19 Years,2013,Percent,0.0381,3651000
New York City,Adults 19 Years and Older,2014,Number,902645,3651000
New York City,All Ages,2014,Number,962805,3651000
New York City,Children Under 19 Years,2014,Number,60160,3651000
New York City,Adults 19 Years and Older,2014,Percent,0.13608,3651000
New York City,All Ages,2014,Percent,0.11423,3651000
New York City,Children Under 19 Years,2014,Percent,0.03351,3651000
New York City,Adults 19 Years and Older,2015,Number,750953,3651000
New York City,All Ages,2015,Number,793058,3651000
New York City,Children Under 19 Years,2015,Number,42105,3651000
New York City,Adults 19 Years and Older,2015,Percent,0.11232,3651000
New York City,All Ages,2015,Percent,0.09342,3651000
New York City,Children Under 19 Years,2015,Percent,0.02335,3651000
New York City,Adults 19 Years and Older,2016,Number,627749,3651000
New York City,All Ages,2016,Number,663731,3651000
New York City,Children Under 19 Years,2016,Number,35982,3651000
New York City,Adults 19 Years and Older,2016,Percent,0.09403,3651000
New York City,All Ages,2016,Percent,0.07832,3651000
New York City,Children Under 19 Years,2016,Percent,0.02001,3651000
New York City,Adults 19 Years and Older,2017,Number,565657,3651000
New York City,All Ages,2017,Number,615128,3651000
New York City,Children Under 19 Years,2017,Number,49471,3651000
New York City,Adults 19 Years and Older,2017,Percent,0.08469,3651000
New York City,All Ages,2017,Percent,0.07188,3651000
New York City,Children Under 19 Years,2017,Percent,0.02634,3651000
New York City,Adults 19 Years and Older,2018,Number,553571,3651000
New York City,All Ages,2018,Number,599409,3651000
New York City,Children Under 19 Years,2018,Number,45838,3651000
New York City,Adults 19 Years and Older,2018,Percent,0.08506,3651000
New York City,All Ages,2018,Percent,0.07194,3651000
New York City,Children Under 19 Years,2018,Percent,0.02513,3651000
New York City,Adults 19 Years and Older,2019,Number,533943,3651000
New York City,All Ages,2019,Number,570279,3651000
New York City,Children Under 19 Years,2019,Number,36336,3651000
New York City,Adults 19 Years and Older,2019,Percent,0.08251,3651000
New York City,All Ages,2019,Percent,0.06896,3651000
New York City,Children Under 19 Years,2019,Percent,0.02021,3651000
Manhattan,All Ages,2018,Percent,0.05219,36061
Manhattan,Children Under 19 Years,2018,Percent,0.01806,36061
Manhattan,Adults 19 Years and Older,2019,Number,67472,36061
Manhattan,All Ages,2019,Number,72468,36061
Manhattan,Children Under 19 Years,2019,Number,4996,36061
Manhattan,Adults 19 Years and Older,2019,Percent,0.04927,36061
Manhattan,All Ages,2019,Percent,0.0448,36061
Manhattan,Children Under 19 Years,2019,Percent,0.02014,36061
Manhattan,Children Under 19 Years,2017,Number,6276,36061
Manhattan,Adults 19 Years and Older,2017,Percent,0.05513,36061
Manhattan,All Ages,2017,Percent,0.05041,36061
Manhattan,Children Under 19 Years,2017,Percent,0.02456,36061
Manhattan,Adults 19 Years and Older,2018,Number,79952,36061
Manhattan,All Ages,2018,Number,84427,36061
Manhattan,Children Under 19 Years,2018,Number,4475,36061
Manhattan,Adults 19 Years and Older,2018,Percent,0.05837,36061
Manhattan,Adults 19 Years and Older,2016,Number,80976,36061
Manhattan,All Ages,2016,Number,83759,36061
Manhattan,Children Under 19 Years,2016,Number,2783,36061
Manhattan,Adults 19 Years and Older,2016,Percent,0.05816,36061
Manhattan,All Ages,2016,Percent,0.0513,36061
Manhattan,Children Under 19 Years,2016,Percent,0.01157,36061
Manhattan,Adults 19 Years and Older,2017,Number,77077,36061
Manhattan,All Ages,2017,Number,83353,36061
Manhattan,All Ages,2014,Percent,0.07578,36061
Manhattan,Children Under 19 Years,2014,Percent,0.01932,36061
Manhattan,Adults 19 Years and Older,2015,Number,105258,36061
Manhattan,All Ages,2015,Number,108386,36061
Manhattan,Children Under 19 Years,2015,Number,3128,36061
Manhattan,Adults 19 Years and Older,2015,Percent,0.07548,36061
Manhattan,All Ages,2015,Percent,0.06631,36061
Manhattan,Children Under 19 Years,2015,Percent,0.01303,36061
Manhattan,Children Under 19 Years,2013,Number,9495,36061
Manhattan,Adults 19 Years and Older,2013,Percent,0.10265,36061
Manhattan,All Ages,2013,Percent,0.0934,36061
Manhattan,Children Under 19 Years,2013,Percent,0.03988,36061
Manhattan,Adults 19 Years and Older,2014,Number,118522,36061
Manhattan,All Ages,2014,Number,123169,36061
Manhattan,Children Under 19 Years,2014,Number,4647,36061
Manhattan,Adults 19 Years and Older,2014,Percent,0.08558,36061
Manhattan,Adults 19 Years and Older,2012,Number,147696,36061
Manhattan,All Ages,2012,Number,158167,36061
Manhattan,Children Under 19 Years,2012,Number,10471,36061
Manhattan,Adults 19 Years and Older,2012,Percent,0.10811,36061
Manhattan,All Ages,2012,Percent,0.09844,36061
Manhattan,Children Under 19 Years,2012,Percent,0.04353,36061
Manhattan,Adults 19 Years and Older,2013,Number,141416,36061
Manhattan,All Ages,2013,Number,150911,36061
Manhattan,All Ages,2010,Percent,0.1093,36061
Manhattan,Children Under 19 Years,2010,Percent,0.03534,36061
Manhattan,Adults 19 Years and Older,2011,Number,169492,36061
Manhattan,All Ages,2011,Number,178876,36061
Manhattan,Children Under 19 Years,2011,Number,9384,36061
