"Name","COVID-19 Cases by Daily Count"
"Description","Daily count of confirmed COVID-19 cases by date of diagnosis.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong>Data are updated weekly.&nbsp;</strong></strong>"
"Notes","Borough-wide counts may not sum to citywide tables due to records with missing geographic information. Because of delays in reporting, the most recent data may be incomplete. Data shown currently will be updated in the future as new information on cases, hospitalizations, and deaths are reported."

Location,TimeFrame,DataFormat,Data,Fips
New York City,04/02,Number,5747,3651000
New York City,04/06,Number,6353,3651000
New York City,04/10,Number,4511,3651000
New York City,04/13,Number,3312,3651000
New York City,04/17,Number,3585,3651000
New York City,04/20,Number,3792,3651000
New York City,04/24,Number,2535,3651000
New York City,04/27,Number,2288,3651000
New York City,05/01,Number,1887,3651000
New York City,05/04,Number,1551,3651000
New York City,05/08,Number,1082,3651000
New York City,05/11,Number,1231,3651000
New York City,05/15,Number,873,3651000
New York City,05/19,Number,1004,3651000
New York City,05/22,Number,1039,3651000
New York City,05/25,Number,467,3651000
New York City,05/29,Number,643,3651000
New York City,06/01,Number,686,3651000
New York City,06/05,Number,404,3651000
New York City,06/08,Number,451,3651000
New York City,06/12,Number,410,3651000
New York City,06/19,Number,362,3651000
New York City,06/22,Number,398,3651000
New York City,06/26,Number,315,3651000
New York City,06/30,Number,441,3651000
New York City,07/09,Number,392,3651000
New York City,07/20,Number,402,3651000
New York City,07/30,Number,273,3651000
New York City,08/05,Number,301,3651000
New York City,08/16,Number,140,3651000
New York City,08/23,Number,150,3651000
New York City,09/07,Number,218,3651000
New York City,09/14,Number,434,3651000
New York City,09/27,Number,383,3651000
New York City,10/07,Number,540,3651000
New York City,10/14,Number,574,3651000
New York City,10/21,Number,649,3651000
New York City,10/28,Number,774,3651000
New York City,11/04,Number,1096,3651000
New York City,11/12,Number,1481,3651000
New York City,11/19,Number,1832,3651000
New York City,11/26,Number,790,3651000
New York City,12/03,Number,2808,3651000
New York City,12/11,Number,2506,3651000
Bronx,04/02,Number,1291,36005
Bronx,04/06,Number,1514,36005
Bronx,04/10,Number,1228,36005
Bronx,04/13,Number,693,36005
Bronx,04/17,Number,917,36005
Bronx,04/20,Number,981,36005
Bronx,04/24,Number,580,36005
Bronx,04/27,Number,550,36005
Bronx,05/01,Number,449,36005
Bronx,05/04,Number,349,36005
Bronx,05/08,Number,252,36005
Bronx,05/11,Number,226,36005
Bronx,05/15,Number,180,36005
Bronx,05/19,Number,181,36005
