"Name","COVID-19 Deaths"
"Description","Death data represent the total cumulative number of <strong>confirmed </strong>deaths since the start of the outbreak, by place of residence. Rates are calculated using interpolated intercensal population estimates updated in 2019 by the Department of Health, and represent the rate per 100,000 people.&nbsp;As new information becomes available, some deaths previously classified as probable may be reclassified as confirmed."
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong>Data are updated weekly.&nbsp;</strong></strong>"
"Notes","Data are cumulative and do not represent new cases per day listed. Data are being collected in real-time and are preliminary and subject to change as COVID-19 response continues. Due to delays in reporting, recent data are incomplete. Zip code data does not include cases where resident zip code is unknown.&nbsp;"

Location,TimeFrame,DataFormat,Data,Fips
New York City,04/02,Number,1562,3651000
New York City,04/02,Rate,18.6,3651000
New York City,04/06,Number,2738,3651000
New York City,04/06,Rate,32.6,3651000
New York City,04/10,Number,5429,3651000
New York City,04/10,Rate,64.64,3651000
New York City,04/13,Number,6182,3651000
New York City,04/13,Rate,73.61,3651000
New York City,04/17,Number,7890,3651000
New York City,04/17,Rate,93.94,3651000
New York City,04/20,Number,9101,3651000
New York City,04/20,Rate,108.36,3651000
New York City,04/24,Number,10746,3651000
New York City,04/24,Rate,127.95,3651000
New York City,04/27,Number,11708,3651000
New York City,04/27,Rate,139.4,3651000
New York City,05/01,Number,13000,3651000
New York City,05/01,Rate,154.78,3651000
New York City,05/04,Number,13536,3651000
New York City,05/04,Rate,161.17,3651000
New York City,05/08,Number,14389,3651000
New York City,05/08,Rate,171.32,3651000
New York City,05/11,Number,14928,3651000
New York City,05/11,Rate,177.74,3651000
New York City,05/15,Number,15422,3651000
New York City,05/15,Rate,183.62,3651000
Bronx,05/19,Number,3409,36005
Brooklyn,05/19,Number,4894,36047
Manhattan,05/19,Number,2173,36061
Queens,05/19,Number,4801,36081
Staten Island,05/19,Number,770,36085
New York City,05/19,Number,16059,3651000
Bronx,05/19,Rate,238.04,36005
Brooklyn,05/19,Rate,189.48,36047
Manhattan,05/19,Rate,133.42,36061
Queens,05/19,Rate,210.67,36081
Staten Island,05/19,Rate,161.7,36085
New York City,05/19,Rate,191.21,3651000
Zip Code 10001,05/19,Number,17,10001
Zip Code 10002,05/19,Number,139,10002
Zip Code 10003,05/19,Number,30,10003
Zip Code 10004,05/19,Number,1,10004
Zip Code 10005,05/19,Number,2,10005
Zip Code 10006,05/19,Number,0,10006
Zip Code 10007,05/19,Number,3,10007
Zip Code 10009,05/19,Number,63,10009
