"Name","COVID-19 Hospitalizations by Daily Count"
"Description","Daily count of COVID-19 hospitalizations by date of admission.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong>Data are updated weekly.&nbsp;</strong></strong>"
"Notes","Borough-wide counts may not sum to citywide tables due to records with missing geographic information. Because of delays in reporting, the most recent data may be incomplete. Data shown currently will be updated in the future as new information on cases, hospitalizations, and deaths are reported.<br />
Decreases in hospitalization data after 10/6, are due to enhanced data cleaning processes which restricts the classification of hospitalizations due to COVID-19 only if the patient was admitted within 14 days of diagnosis date."

Location,TimeFrame,DataFormat,Data,Fips
New York City,04/02,Number,1733,3651000
New York City,04/06,Number,1805,3651000
New York City,04/10,Number,1395,3651000
New York City,04/13,Number,1264,3651000
New York City,04/17,Number,897,3651000
New York City,04/20,Number,709,3651000
New York City,04/24,Number,519,3651000
New York City,04/27,Number,393,3651000
New York City,05/01,Number,292,3651000
New York City,05/04,Number,254,3651000
New York City,05/08,Number,209,3651000
New York City,05/11,Number,193,3651000
New York City,05/15,Number,140,3651000
New York City,05/19,Number,129,3651000
New York City,05/22,Number,115,3651000
New York City,05/25,Number,85,3651000
New York City,05/29,Number,90,3651000
New York City,06/01,Number,80,3651000
New York City,06/05,Number,58,3651000
New York City,06/08,Number,62,3651000
New York City,06/12,Number,60,3651000
New York City,06/19,Number,53,3651000
New York City,06/22,Number,55,3651000
New York City,06/26,Number,41,3651000
New York City,06/30,Number,49,3651000
New York City,07/09,Number,50,3651000
New York City,07/20,Number,34,3651000
New York City,07/30,Number,36,3651000
New York City,08/05,Number,38,3651000
New York City,08/16,Number,24,3651000
New York City,08/23,Number,21,3651000
New York City,09/07,Number,25,3651000
New York City,09/14,Number,29,3651000
New York City,09/27,Number,32,3651000
New York City,10/07,Number,45,3651000
New York City,10/14,Number,59,3651000
New York City,10/21,Number,49,3651000
New York City,10/28,Number,44,3651000
New York City,11/04,Number,60,3651000
New York City,11/12,Number,73,3651000
New York City,11/19,Number,112,3651000
New York City,11/26,Number,143,3651000
New York City,12/03,Number,181,3651000
New York City,12/11,Number,215,3651000
Bronx,04/02,Number,368,36005
Bronx,04/06,Number,403,36005
Bronx,04/10,Number,308,36005
Bronx,04/13,Number,289,36005
Bronx,04/17,Number,200,36005
Bronx,04/20,Number,170,36005
Bronx,04/24,Number,114,36005
Bronx,04/27,Number,101,36005
Bronx,05/01,Number,79,36005
Bronx,05/04,Number,59,36005
