"Name","COVID-19 Hospitalizations"
"Description","Hospitalizations are estimations that reflect the&nbsp;<strong>total&nbsp;</strong>number of people ever admitted to a hospital for COVID-19,&nbsp;<strong>not</strong>&nbsp;currently admitted. For more information on how DOHMH estimates the number of hospitalizations to COVID-19, see&nbsp;<a href=""https://github.com/nychealth/coronavirus-data#estimated-number-of-covid-19-patients-ever-hospitalized"">their technical notes</a>.&nbsp;Rates are calculated using interpolated intercensal population estimates updated in 2019 by the&nbsp;<a href=""https://github.com/nychealth/coronavirus-data#rates-per-100000-people"" target=""_blank"">Department of Health</a>, and represent the rate per 100,000 people.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong>Data are updated weekly.&nbsp;</strong></strong><strong></strong>"
"Notes","Data are cumulative and do not represent new hospitalizations per day listed.&nbsp;Data are cumulative and do not represent new cases per day listed. Data are being collected in real-time and are preliminary and subject to change as COVID-19 response continues. Due to delays in reporting, recent data are incomplete.&nbsp;<br />
Decreases in hospitalization data after 10/6, are due to enhanced data cleaning processes which restricts the classification of hospitalizations due to COVID-19 only if the patient was admitted within 14 days of diagnosis date."

Location,TimeFrame,DataFormat,Data,Fips
New York City,04/02,Number,10590,3651000
New York City,04/02,Rate,126.09,3651000
New York City,04/06,Number,15333,3651000
New York City,04/06,Rate,182.56,3651000
New York City,04/10,Number,25920,3651000
New York City,04/10,Rate,308.62,3651000
New York City,04/13,Number,29335,3651000
New York City,04/13,Rate,349.28,3651000
New York City,04/17,Number,32843,3651000
New York City,04/17,Rate,391.05,3651000
New York City,04/20,Number,34729,3651000
New York City,04/20,Rate,413.5,3651000
New York City,04/24,Number,37995,3651000
New York City,04/24,Rate,452.39,3651000
New York City,04/27,Number,40050,3651000
New York City,04/27,Rate,476.86,3651000
New York City,05/01,Number,42417,3651000
New York City,05/01,Rate,505.04,3651000
New York City,05/04,Number,43045,3651000
New York City,05/04,Rate,512.52,3651000
New York City,05/08,Number,43913,3651000
New York City,05/08,Rate,522.85,3651000
New York City,05/11,Number,48706,3651000
New York City,05/11,Rate,579.92,3651000
New York City,05/15,Number,49580,3651000
New York City,05/15,Rate,590.33,3651000
Bronx,05/19,Number,11420,36005
Brooklyn,05/19,Number,13620,36047
Manhattan,05/19,Number,7423,36061
Queens,05/19,Number,15931,36081
Staten Island,05/19,Number,2199,36085
New York City,05/19,Number,50618,3651000
Bronx,05/19,Rate,797.41,36005
Brooklyn,05/19,Rate,527.33,36047
