"Name","Commuting by Means of Transportation"
"Description","The share of individuals who worked in the last week by their usual means of transportation.&nbsp;""Public transit"" includes subway, bus, railroad, and ferry; ""Carpool, Taxi, Other"" includes motorcycle or any other method not listed."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Table B08006 (2012-2019); retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes",""

Location,Means of Transportation,TimeFrame,DataFormat,Data,Fips
Battery Park/Tribeca,Bicycle,2012,Percent,0.01297,101
Greenwich Village,Bicycle,2012,Percent,0.01297,102
Lower East Side,Bicycle,2012,Percent,0.04046,103
Chelsea/Clinton,Bicycle,2012,Percent,0.0135,104
Midtown Business District,Bicycle,2012,Percent,0.0135,105
Murray Hill/Stuyvesant,Bicycle,2012,Percent,0.01009,106
Upper West Side,Bicycle,2012,Percent,0.00966,107
Upper East Side,Bicycle,2012,Percent,0.00208,108
Manhattanville,Bicycle,2012,Percent,0.02115,109
Central Harlem,Bicycle,2012,Percent,0.00829,110
East Harlem,Bicycle,2012,Percent,0.01899,111
Washington Heights,Bicycle,2012,Percent,0.00661,112
Mott Haven,Bicycle,2012,Percent,0.00336,201
Hunts Point,Bicycle,2012,Percent,0.00336,202
Morrisania,Bicycle,2012,Percent,0.01019,203
Concourse/Highbridge,Bicycle,2012,Percent,0.00352,204
University Heights,Bicycle,2012,Percent,0.00237,205
East Tremont,Bicycle,2012,Percent,0.01019,206
Bedford Park,Bicycle,2012,Percent,0.00295,207
Riverdale,Bicycle,2012,Percent,0.00324,208
Unionport/Soundview,Bicycle,2012,Percent,0.00384,209
Throgs Neck,Bicycle,2012,Percent,0.00122,210
Pelham Parkway,Bicycle,2012,Percent,0,211
Williamsbridge,Bicycle,2012,Percent,0.00168,212
Williamsburg/Greenpoint,Bicycle,2012,Percent,0.02534,301
Fort Greene/Brooklyn Hts,Bicycle,2012,Percent,0.03308,302
Bedford Stuyvesant,Bicycle,2012,Percent,0.03727,303
Bushwick,Bicycle,2012,Percent,0.03101,304
East New York,Bicycle,2012,Percent,0.00097,305
Park Slope,Bicycle,2012,Percent,0.03345,306
Sunset Park,Bicycle,2012,Percent,0.02559,307
Crown Heights North,Bicycle,2012,Percent,0.0259,308
Crown Heights South,Bicycle,2012,Percent,0.00311,309
Bay Ridge,Bicycle,2012,Percent,0.00769,310
Bensonhurst,Bicycle,2012,Percent,0.00328,311
Borough Park,Bicycle,2012,Percent,0.01721,312
Coney Island,Bicycle,2012,Percent,0.00635,313
Flatbush/Midwood,Bicycle,2012,Percent,0.00433,314
Sheepshead Bay,Bicycle,2012,Percent,0.00373,315
Brownsville,Bicycle,2012,Percent,0.00763,316
East Flatbush,Bicycle,2012,Percent,0.0017,317
Canarsie,Bicycle,2012,Percent,0.0024,318
Astoria,Bicycle,2012,Percent,0.01065,401
Sunnyside/Woodside,Bicycle,2012,Percent,0.01002,402
Jackson Heights,Bicycle,2012,Percent,0.01151,403
Elmhurst/Corona,Bicycle,2012,Percent,0.01937,404
Ridgewood/Glendale,Bicycle,2012,Percent,0.00523,405
Rego Park/Forest Hills,Bicycle,2012,Percent,0.0067,406
Flushing,Bicycle,2012,Percent,0.00363,407
Fresh Meadows/Briarwood,Bicycle,2012,Percent,0.00031,408
Woodhaven,Bicycle,2012,Percent,0.00494,409
Howard Beach,Bicycle,2012,Percent,0.00223,410
Bayside,Bicycle,2012,Percent,0.00047,411
Jamaica/St. Albans,Bicycle,2012,Percent,0.00219,412
Queens Village,Bicycle,2012,Percent,0.00074,413
The Rockaways,Bicycle,2012,Percent,0.01169,414
St. George,Bicycle,2012,Percent,0.00205,501
South Beach,Bicycle,2012,Percent,0,502
Tottenville,Bicycle,2012,Percent,0.00093,503
Bronx,Bicycle,2012,Percent,0.00317,36005
Brooklyn,Bicycle,2012,Percent,0.01526,36047
Manhattan,Bicycle,2012,Percent,0.01315,36061
Queens,Bicycle,2012,Percent,0.00616,36081
Staten Island,Bicycle,2012,Percent,0.00107,36085
New York City,Bicycle,2012,Percent,0.00973,3651000
Battery Park/Tribeca,Bicycle,2013,Percent,0.02337,101
Greenwich Village,Bicycle,2013,Percent,0.02337,102
Lower East Side,Bicycle,2013,Percent,0.03632,103
Chelsea/Clinton,Bicycle,2013,Percent,0.03366,104
Midtown Business District,Bicycle,2013,Percent,0.03366,105
Murray Hill/Stuyvesant,Bicycle,2013,Percent,0.03893,106
Upper West Side,Bicycle,2013,Percent,0.01429,107
Upper East Side,Bicycle,2013,Percent,0.00452,108
Manhattanville,Bicycle,2013,Percent,0.01195,109
Central Harlem,Bicycle,2013,Percent,0.01488,110
Washington Heights,Bicycle,2013,Percent,0.00783,112
Mott Haven,Bicycle,2013,Percent,0.00952,201
Hunts Point,Bicycle,2013,Percent,0.00952,202
Morrisania,Bicycle,2013,Percent,0.00372,203
Concourse/Highbridge,Bicycle,2013,Percent,0.00551,204
University Heights,Bicycle,2013,Percent,0.00086,205
East Tremont,Bicycle,2013,Percent,0.00372,206
Bedford Park,Bicycle,2013,Percent,0,207
Riverdale,Bicycle,2013,Percent,0.01254,208
Unionport/Soundview,Bicycle,2013,Percent,0.00076,209
Pelham Parkway,Bicycle,2013,Percent,0.00743,211
Williamsbridge,Bicycle,2013,Percent,0.00352,212
Williamsburg/Greenpoint,Bicycle,2013,Percent,0.04126,301
Fort Greene/Brooklyn Hts,Bicycle,2013,Percent,0.02774,302
