Local Area Unemployment Statistics,,,,,,,,
Original Data Value,,,,,,,,

Series Id:,"LAUST360000000000003,LAUST360000000000004,LAUST360000000000005,LAUST360000000000006,LAUST360000000000007,LAUST360000000000008,LAUST360000000000009",,,,,,,
Not Seasonally Adjusted,,,,,,,,
Area:,New York,,,,,,,
Area Type:,Statewide,,,,,,,
State/Region/Division:,New York,,,,,,,
Years:,2010 to 2020,,,,,,,

Year,Period,civilian noninstitutional population,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,15398444,62.0,56.1,9546265,8632868,913397,9.6
2010,Feb,15402678,62.1,56.2,9565198,8659214,905984,9.5
2010,Mar,15407189,62.1,56.5,9574286,8703452,870834,9.1
2010,Apr,15339324,62.9,57.6,9648949,8832434,816515,8.5
2010,May,15346761,62.7,57.5,9616724,8824164,792560,8.2
2010,Jun,15354043,63.0,57.7,9675506,8865867,809639,8.4
2010,Jul,15362315,63.3,57.8,9721397,8882378,839019,8.6
2010,Aug,15373958,63.0,57.7,9678098,8866954,811144,8.4
2010,Sep,15385949,62.2,57.1,9575209,8785730,789479,8.2
2010,Oct,15398098,62.0,56.9,9547937,8767814,780123,8.2
2010,Nov,15407759,61.8,56.6,9518599,8718557,800042,8.4
2010,Dec,15416929,61.5,56.4,9476174,8697247,778927,8.2
2011,Jan,15426512,61.5,56.0,9482821,8633127,849694,9.0
2011,Feb,15434498,61.4,56.0,9482067,8647877,834190,8.8
2011,Mar,15441996,61.4,56.3,9482877,8701218,781659,8.2
2011,Apr,15450948,61.3,56.5,9465985,8729548,736437,7.8
2011,May,15459962,61.3,56.5,9480448,8740381,740067,7.8
2011,Jun,15468901,61.7,56.6,9542714,8760229,782485,8.2
2011,Jul,15479515,61.9,56.7,9582947,8780064,802883,8.4
2011,Aug,15487785,61.8,56.7,9571346,8784635,786711,8.2
2011,Sep,15497061,61.4,56.3,9515444,8726310,789134,8.3
2011,Oct,15505582,61.6,56.5,9546828,8760081,786747,8.2
2011,Nov,15512665,61.4,56.4,9527167,8747192,779975,8.2
2011,Dec,15519694,61.4,56.2,9527694,8726027,801667,8.4
2012,Jan,15527143,61.3,55.6,9515496,8635675,879821,9.2
2012,Feb,15532279,61.6,55.8,9570383,8673664,896719,9.4
2012,Mar,15538608,61.6,56.1,9566682,8717093,849589,8.9
2012,Apr,15544812,61.3,56.2,9525644,8743936,781708,8.2
2012,May,15550721,61.8,56.6,9612651,8802540,810111,8.4
2012,Jun,15557724,62.4,56.9,9706110,8858766,847344,8.7
2012,Jul,15565226,62.5,56.9,9724329,8855026,869303,8.9
2012,Aug,15573569,61.9,56.6,9640779,8820927,819852,8.5
2012,Sep,15582569,61.7,56.7,9607579,8836721,770858,8.0
