New York State and Labor Market Regions and Metropolitan Areas
Counties and Municipalities of at Least 25000 Population
Data Source: Local Area Unemployment Statistics Program
New York State 
(Data are not seasonally adjusted. Data are preliminary and subject to revision.) 
UNEMPLOYMENT RATE
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann Avg,
2020,4.1%,3.9%,4.2%,15.1%,14.2%,15.5%,16%,12.5%,9.3%,9%,8.1%,8.1%,,
2019,4.8%,4.5%,4.2%,3.6%,3.6%,3.8%,4.2%,4.1%,3.6%,3.7%,3.6%,3.7%,4%,
2018,5.1%,5.1%,4.6%,4.1%,3.7%,4.1%,4.2%,4.1%,3.7%,3.7%,3.6%,4%,4.1%,
2017,5.3%,5.3%,4.7%,4.4%,4.4%,4.6%,4.9%,5%,4.6%,4.4%,4.4%,4.4%,4.7%,
2016,5.3%,5.3%,5.1%,4.6%,4.3%,4.7%,5.1%,5.1%,4.9%,4.8%,4.5%,4.6%,4.9%,
2015,6.4%,6.2%,5.6%,5.2%,5.3%,5.2%,5.4%,5%,4.7%,4.7%,4.7%,4.8%,5.3%,
2014,7.4%,7.6%,7.1%,6%,6.2%,6.2%,6.5%,6.3%,5.8%,5.6%,5.7%,5.5%,6.3%,
2013,9.1%,8.7%,8%,7.4%,7.5%,7.9%,7.9%,7.7%,7.4%,7.4%,7%,6.7%,7.7%,
2012,9.2%,9.4%,8.9%,8.2%,8.4%,8.7%,8.9%,8.5%,8%,8%,7.8%,8.1%,8.5%,
2011,9%,8.8%,8.2%,7.8%,7.8%,8.2%,8.4%,8.2%,8.3%,8.2%,8.2%,8.4%,8.3%,
2010,9.6%,9.5%,9.1%,8.5%,8.2%,8.4%,8.6%,8.4%,8.2%,8.2%,8.4%,8.2%,8.6%,
2009,7.8%,8.3%,8.2%,7.7%,8%,8.4%,8.5%,8.5%,8.6%,8.7%,8.5%,8.8%,8.3%,
2008,5.5%,5.4%,5.2%,4.6%,4.9%,5.1%,5.4%,5.5%,5.5%,5.6%,5.9%,6.5%,5.4%,
2007,5%,4.9%,4.4%,4.2%,4.2%,4.5%,4.9%,4.5%,4.5%,4.4%,4.4%,4.8%,4.6%,
2006,5.1%,5.3%,5%,4.6%,4.5%,4.5%,4.8%,4.4%,4.2%,3.9%,4.1%,4%,4.5%,
2005,5.7%,5.7%,5%,4.8%,4.8%,4.8%,5.1%,4.7%,5%,4.8%,5.1%,4.7%,5%,
2004,7.1%,6.8%,6.7%,5.9%,5.6%,5.8%,5.8%,5.3%,5.2%,5.1%,5.1%,5.2%,5.8%,
2003,7%,6.9%,6.4%,6.1%,6%,6.4%,6.4%,6.2%,6.3%,6.2%,6.3%,6.1%,6.4%,
2002,6.8%,6.8%,6.6%,6.1%,5.9%,6%,6.1%,5.8%,5.6%,5.8%,6.1%,6.3%,6.1%,
2001,4.8%,4.7%,4.5%,4.1%,4%,4.3%,4.6%,4.9%,5%,5.4%,5.7%,5.9%,4.8%,
2000,5.3%,5.3%,5%,4.3%,4.4%,4.3%,4.6%,4.5%,4.3%,4.2%,4.3%,4.1%,4.5%,
1999,5.9%,6.1%,5.5%,5.1%,4.9%,5.2%,5.4%,5%,5%,4.8%,4.7%,4.5%,5.2%,
1998,6.7%,6.6%,6.4%,5.4%,5.3%,5.3%,5.6%,5.2%,5.3%,5.3%,5.1%,5.1%,5.6%,
1997,7.3%,7.2%,7%,6.4%,6.3%,6.5%,6.6%,6.3%,6.2%,5.9%,5.7%,5.8%,6.4%,
1996,6.9%,6.8%,6.8%,6.4%,6.3%,6%,6.4%,5.8%,5.7%,5.7%,6%,6.1%,6.2%,
1995,7%,6.7%,6.6%,6.4%,6.2%,6.2%,6.5%,6.3%,6.2%,6%,6%,6%,6.3%,
1994,8.4%,8.3%,7.9%,7.3%,6.8%,6.9%,7%,6.6%,6.3%,6.2%,6%,5.8%,6.9%,
1993,9.3%,9%,8.3%,7.7%,7.7%,7.8%,7.8%,7.5%,7.4%,7.6%,7.4%,7.4%,7.9%,
1992,9%,9.3%,8.8%,8.2%,8.4%,8.8%,8.8%,8.6%,8.6%,8.2%,8.3%,8.3%,8.6%,
1991,7%,7.4%,7.4%,6.9%,7.3%,7.2%,7.3%,7.1%,7.1%,7.1%,7.3%,7.8%,7.2%,
1990,5.8%,5.8%,5.4%,5%,4.9%,4.7%,5.2%,5%,5.3%,5.4%,5.6%,5.8%,5.3%,
1989,5.5%,5.3%,4.8%,4.8%,4.8%,4.8%,4.9%,4.7%,4.9%,4.9%,5.2%,5.1%,5%,
1988,5%,4.7%,4.3%,3.6%,4%,3.8%,4.2%,4.2%,4.3%,4.3%,4.4%,4.5%,4.3%,
1987,6.1%,5.9%,5.5%,4.7%,4.7%,4.7%,4.7%,4.5%,4.4%,4.6%,4.6%,4.3%,4.9%,
1986,6.8%,7.4%,7%,6.5%,6.6%,6.3%,6.3%,5.8%,5.8%,5.6%,5.5%,5.2%,6.2%,
1985,7.6%,7.3%,7%,6.6%,6.6%,6.6%,6.6%,6.1%,6.3%,6.3%,6.2%,6.2%,6.6%,
1984,8.2%,8%,7.6%,7%,6.8%,6.9%,7.5%,7.3%,6.9%,6.8%,6.5%,6.5%,7.2%,
1983,10%,10%,9.6%,8.9%,8.9%,9%,8.6%,8.4%,8.1%,7.7%,7.5%,7.4%,8.7%,
1982,8.7%,8.5%,8.5%,8.1%,8%,8.2%,8.5%,8.2%,8.3%,8.6%,9%,9.1%,8.5%,
1981,8.5%,8.5%,8.1%,7.3%,7.5%,7.6%,7.4%,7%,7%,7.1%,7.4%,7.8%,7.6%,
1980,8%,7.8%,7.3%,7.2%,7.5%,7.6%,7.8%,7.4%,7.3%,7.3%,7.3%,7.2%,7.5%,
1979,7.7%,7.8%,7.4%,6.8%,6.6%,7%,7.2%,7.3%,7.2%,7.1%,7%,6.9%,7.2%,
1978,8.9%,8.7%,8.3%,7.6%,7.5%,7.5%,7.9%,7.5%,7.7%,7.2%,7.2%,7.1%,7.8%,
1977,10.6%,10.7%,10.1%,9%,8.8%,9.1%,8.8%,8.7%,8.8%,8.5%,8.7%,8%,9.1%,
