OBJECTID,BoroCode,BoroName,CountyFIPS,NTACode,NTAName,Shape__Area,Shape__Length
1,3,Brooklyn,047,BK88,Borough Park,54005019.0479584,39247.2278309207
2,4,Queens,081,QN51,Murray Hill,52488277.5914307,33266.9048720645
3,4,Queens,081,QN27,East Elmhurst,19726945.9468689,19816.6846901894
4,4,Queens,081,QN07,Hollis,22887772.9909821,20976.3357813773
5,3,Brooklyn,047,BK25,Homecrest,29991967.2829895,27514.0229181843
6,4,Queens,081,QN41,Fresh Meadows-Utopia,27774853.6240387,22106.4313640383
7,4,Queens,081,QN08,St. Albans,77412763.7422485,45401.225344359
8,3,Brooklyn,047,BK44,Madison,27379162.0824585,26237.257857622
9,3,Brooklyn,047,BK41,Kensington-Ocean Parkway,15893305.1584473,20800.7523582552
10,3,Brooklyn,047,BK95,Erasmus,14522603.6276703,18756.702033048
11,2,Bronx,005,BX33,Longwood,10732452.060379,18982.1300680849
12,3,Brooklyn,047,BK69,Clinton Hill,20528223.2234344,23971.4512852219
13,4,Queens,081,QN33,Cambria Heights,33076797.8818359,26168.2700874339
14,3,Brooklyn,047,BK43,Midwood,35799574.3850098,27996.5906115546
15,3,Brooklyn,047,BK26,Gravesend,31341851.41539,39921.9892834371
16,3,Brooklyn,047,BK29,Bensonhurst East,35777868.9467316,33902.9521655258
17,3,Brooklyn,047,BK72,Williamsburg,11589988.1434174,16874.4338341099
18,3,Brooklyn,047,BK75,Bedford,32629789.0624695,29992.9237997846
19,3,Brooklyn,047,BK35,Stuyvesant Heights,31406935.9812622,28239.0808904237
20,3,Brooklyn,047,BK96,Rugby-Remsen Village,32706946.3129425,30957.8542367051
21,2,Bronx,005,BX31,Allerton-Pelham Gardens,31693009.6642609,25467.0894466237
22,3,Brooklyn,047,BK91,East Flatbush-Farragut,34360864.5533447,39201.0381800133
23,3,Brooklyn,047,BK78,Bushwick South,40169477.4955597,40735.7273822887
24,3,Brooklyn,047,BK77,Bushwick North,24927981.4166565,26321.622320821
25,4,Queens,081,QN20,Ridgewood,50495189.1632385,40608.4897968186
26,3,Brooklyn,047,BK46,Ocean Parkway South,17782095.7563477,21975.9973188892
27,4,Queens,081,QN68,Queensbridge-Ravenswood-Long Island City,23317032.8328705,27067.6525331793
28,2,Bronx,005,BX08,West Farms-Bronx River,15084969.4428864,17477.288874968
29,2,Bronx,005,BX46,Parkchester,9184677.0995636,12411.7882087094
30,2,Bronx,005,BX55,Soundview-Bruckner,16253358.282608,19756.5597869206
31,4,Queens,081,QN19,Glendale,30016769.2298126,41514.3955779186
32,2,Bronx,005,BX28,Van Cortlandt Village,25666044.3599701,21945.6956414882
33,1,Manhattan,061,MN15,Clinton,18362148.8181,34481.6082788022
34,4,Queens,081,QN34,Queens Village,69533432.9100952,41782.4005669685
35,4,Queens,081,QN21,Middle Village,57684858.3557739,42675.5298570116
36,2,Bronx,005,BX62,Woodlawn-Wakefield,39738810.527771,38693.868662747
37,2,Bronx,005,BX07,Bronxdale,15185614.8253937,17432.1329006683
38,3,Brooklyn,047,BK85,East New York (Pennsylvania Ave),19397526.6142578,24226.8512514219
39,4,Queens,081,QN55,South Ozone Park,82461392.9210052,36708.1693635497
40,3,Brooklyn,047,BK27,Bath Beach,20535007.0575256,22383.6865320298
41,3,Brooklyn,047,BK28,Bensonhurst West,46670569.5071564,37137.4391703766
42,4,Queens,081,QN30,Maspeth,35633121.0478516,41265.5928554441
43,4,Queens,081,QN23,College Point,50554003.6824036,59454.1720032531
44,2,Bronx,005,BX98,Rikers Island,18163963.9882202,18897.9994012381
45,5,Staten Island,085,SI48,Arden Heights,50410986.0778275,29689.1429473191
46,2,Bronx,005,BX52,Schuylerville-Throgs Neck-Edgewater Park,88440889.2827454,91300.2252981829
47,5,Staten Island,085,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,141059025.444855,71171.8139529309
48,1,Manhattan,061,MN25,Battery Park City-Lower Manhattan,19014258.922821,43738.1807885922
49,1,Manhattan,061,MN14,Lincoln Square,15805523.4621887,19869.6827552471
